[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:53:33.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:53:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:54:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:54:18.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:54:33.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:54:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:55:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:55:18.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:55:33.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:55:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:56:03.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:56:18.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:56:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:56:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:57:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:57:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:57:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:57:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:58:03.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:58:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:58:33.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:58:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:59:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:59:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:59:33.710 ]: Flushing all sinks (periodic action)
